COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,5661,15,16
fibonacci,5657,30,16
fibonacci,5649,16,17
fibonacci,5651,16,17
fibonacci,5645,44,19
fibonacci,5641,31,20
fibonacci,5637,31,20
fibonacci,5633,30,20
fibonacci,5629,29,21
fibonacci,5625,32,22
fibonacci,5621,31,23
fibonacci,5617,31,23
fibonacci,5613,31,24
fibonacci,5609,31,24
fibonacci,5605,32,26
fibonacci,5601,32,26
fibonacci,5597,32,26
fibonacci,5593,31,27
fibonacci,5589,31,27
fibonacci,5585,32,29
fibonacci,5582,32,29
fibonacci,5579,32,29
fibonacci,5576,31,30
fibonacci,5573,31,30
fibonacci,5568,30,31
fibonacci,5565,32,32
fibonacci,5586,30,31
fibonacci,5590,29,31
fibonacci,5594,30,31
fibonacci,5598,30,31
fibonacci,5602,31,32
fibonacci,5606,31,32
fibonacci,5610,30,31
fibonacci,5614,30,32
fibonacci,5618,32,32
fibonacci,5622,31,32
fibonacci,5662,31,16
fibonacci,5658,15,17
fibonacci,5654,16,17
fibonacci,5650,17,18
fibonacci,5646,18,19
fibonacci,5642,24,19
fibonacci,5638,18,84
fibonacci,5634,84,84
fibonacci,5630,83,85
fibonacci,5570,133,134
fibonacci,5572,135,134
fibonacci,5616,140,132
fibonacci,5663,15,16
fibonacci,5660,30,17
fibonacci,5656,31,17
fibonacci,5653,30,18
fibonacci,5648,30,18
fibonacci,5644,31,19
fibonacci,5640,31,20
fibonacci,5636,31,20
fibonacci,5632,30,21
fibonacci,5628,32,22
fibonacci,5624,32,22
fibonacci,5620,31,23
fibonacci,5612,30,23
fibonacci,5608,30,25
fibonacci,5604,32,25
fibonacci,5600,31,25
fibonacci,5596,30,26
fibonacci,5592,31,26
fibonacci,5588,30,27
fibonacci,5584,32,28
fibonacci,5581,31,28
fibonacci,5578,31,29
fibonacci,5664,15,16
fibonacci,5659,30,17
fibonacci,5655,31,17
fibonacci,5652,30,18
fibonacci,5647,32,19
fibonacci,5643,31,20
fibonacci,5639,32,20
fibonacci,5635,31,21
fibonacci,5631,31,21
fibonacci,5627,32,22
fibonacci,5623,32,23
fibonacci,5619,32,23
fibonacci,5615,31,24
fibonacci,5611,31,24
fibonacci,5607,33,26
fibonacci,5603,33,26
fibonacci,5599,32,26
fibonacci,5595,31,129
fibonacci,5591,133,129
fibonacci,5587,133,130
fibonacci,5583,135,131
fibonacci,5580,134,131
fibonacci,5577,134,132
fibonacci,5574,134,132
fibonacci,5571,133,132
fibonacci,5569,132,133
fibonacci,5566,133,133
fibonacci,5567,88,190
fibonacci,5626,31,467
fibonacci,5575,31,1148
