COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,1780,77,78
fibonacci,1779,78,81
fibonacci,1778,81,81
fibonacci,1777,80,85
fibonacci,1776,85,85
fibonacci,1775,85,87
fibonacci,1774,86,87
fibonacci,1773,87,87
fibonacci,1772,86,96
fibonacci,1771,95,97
fibonacci,1770,144,1206
fibonacci,1769,1205,1228
fibonacci,1768,1228,1229
fibonacci,1767,1228,1229
fibonacci,1766,1228,1229
fibonacci,1765,1230,1231
fibonacci,1764,1230,1231
fibonacci,1763,1230,1231
fibonacci,1762,1231,1232
fibonacci,1761,1231,1232
fibonacci,1760,1233,1233
fibonacci,1759,1232,1234
fibonacci,1758,1233,1240
fibonacci,1757,1240,1644
fibonacci,1756,1693,2101
fibonacci,1755,2102,2102
fibonacci,1754,2101,2102
fibonacci,1753,2101,2103
fibonacci,1752,2103,2103
fibonacci,1751,2103,2107
fibonacci,1750,2106,2108
fibonacci,1749,2108,2108
fibonacci,1748,2107,2109
fibonacci,1747,2108,2109
fibonacci,1746,2110,2147
fibonacci,1745,2146,2148
fibonacci,1744,2148,2162
fibonacci,1743,2161,2163
fibonacci,1742,2162,2164
fibonacci,1741,2164,2166
fibonacci,1740,2166,2168
fibonacci,1739,2167,2168
fibonacci,1738,2168,2169
fibonacci,1737,2168,2169
fibonacci,1736,2168,2169
fibonacci,1735,2170,2171
fibonacci,1734,2170,2174
fibonacci,1733,2173,2211
fibonacci,1732,2210,2211
fibonacci,1731,2211,2212
fibonacci,1730,2211,2248
fibonacci,1729,2248,2404
fibonacci,1728,2404,2406
fibonacci,1727,2405,2406
fibonacci,1726,2405,2407
fibonacci,1725,2406,2407
fibonacci,1724,2407,2408
fibonacci,1723,2408,2412
fibonacci,1722,2411,2412
fibonacci,1721,2411,2449
fibonacci,1720,2448,2449
fibonacci,1719,2449,2451
fibonacci,1718,2451,2451
fibonacci,1717,2450,2451
fibonacci,1716,2451,2857
fibonacci,1715,2856,2857
fibonacci,1714,2857,2858
fibonacci,1713,2857,2859
fibonacci,1712,2858,2861
fibonacci,1711,2861,2920
fibonacci,1710,2965,3219
fibonacci,1709,3219,3220
fibonacci,1708,3220,3221
fibonacci,1707,3220,3222
fibonacci,1706,3221,3222
fibonacci,1705,3221,3223
fibonacci,1704,3222,3260
fibonacci,1703,3259,3260
fibonacci,1702,3259,3260
fibonacci,1701,3260,3262
fibonacci,1700,3261,3417
fibonacci,1699,3416,3420
fibonacci,1698,3419,3421
fibonacci,1697,3420,3675
fibonacci,1696,3674,3675
fibonacci,1695,3674,3677
fibonacci,1694,3677,3678
fibonacci,1693,3677,3679
fibonacci,1692,3677,3679
fibonacci,1691,3678,3679
fibonacci,1690,3678,3680
fibonacci,1689,3678,3680
fibonacci,1788,3661,3663
fibonacci,1787,3663,3664
fibonacci,1786,3663,3665
fibonacci,1785,3664,3668
fibonacci,1784,3669,3670
fibonacci,1783,3669,3671
fibonacci,1782,3670,3671
fibonacci,1781,3671,3671
